172.18.0.1 - - [15/Nov/2025:01:15:33 +0000] "GET / HTTP/1.1" 301 162 "-" "curl/8.5.0" "-"
::1 - - [15/Nov/2025:01:15:57 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [15/Nov/2025:01:16:28 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [15/Nov/2025:01:16:58 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [15/Nov/2025:01:17:28 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [15/Nov/2025:01:17:58 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [15/Nov/2025:01:18:28 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [15/Nov/2025:01:18:58 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [15/Nov/2025:01:19:28 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [15/Nov/2025:01:19:58 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [15/Nov/2025:01:20:28 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [15/Nov/2025:01:20:58 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [15/Nov/2025:01:21:28 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [15/Nov/2025:01:21:58 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [15/Nov/2025:01:22:28 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [15/Nov/2025:01:22:58 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [15/Nov/2025:01:23:28 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [15/Nov/2025:01:23:59 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [15/Nov/2025:01:24:29 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
